Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
ARNC,ARNC,Diversified Industrials,21.86,10.768474,0.011157601,1.45,23.6,15.63,9807030272,8.406,0.6950411,1.937428,
ALLE,ALLE,Security & Protection Services,99.4,18.719398,0.0090844855,4.58,102.39,74.83,9338202112,17.567,3.3668165,14.758723,
PKG,PKG,Packaging & Containers,97.18,12.193225,0.03282435,8.46,124.7,77.9,9110993920,7.402,1.2909297,3.2601986,
FFIV,FFIV,Software - Infrastructure,141.97,12.953467,,10.61,199.71,141.05,8474927616,11.188,3.8635197,5.775364,
LKQ,LKQ,Auto Parts,27.02,10.157894,,2.21,36.1,22.74,8484117504,10.981,0.6922299,1.7676305,
TPR,TPR,Luxury Goods,30.78,10.724739,0.044672403,2.5700000000000003,54.35,29.82,8930385920,8.702,1.4891174,2.5287545,
JEC,JEC,Engineering & Construction,76.49,14.009157,0.008178341,4.99,82.24,55.17,10449221632,12.596,0.63306606,1.9092429,
TMK,TMK,Insurance - Life,87.31,12.211188,0.0075550405,6.3,91.28,69.68,9598948352,11.361,2.2053716,1.5881186,
WHR,WHR,Home Furnishings & Fixtures,129.08,7.9384995,0.03591505,15.61,167.54,99.4,8175837184,8.377,0.3914506,2.9022393,
IRM,IRM,REIT - Diversified,31.79,27.170942,0.07633758,1,37.32,30.22,9119946752,13.547,2.1523695,5.182589,
HII,HII,Aerospace & Defense,205.74,12.066863,0.015393609,18.480000000000004,262.32,173.8,8548950016,8.838,1.0199177,5.475887,
MOS,MOS,Agricultural Inputs,22.81,9.504166,0.0043649063,2.17,37.37,22.66,8799823872,6.504,0.92112917,0.83008844,
IPG,IPG,Advertising Agencies,22.39,11.251256,0.038702462,1.91,25.1,19.61,8665802752,11.047,1.048824,3.734779,
BF-B,BF-B,Beverages - Wineries & Distilleries,51.71,28.412086,0.012620784,1.6300000000000001,59.58,44.57,24471085056,24.655,7.3863826,16.520765,
NLSN,NLSN,Business Services,24.04,13.065218,0.058947366,1.1,32.07,20.53,8546076672,12.253,1.3212858,3.063201,
IVZ,IVZ,Asset Management,20.38,7.465201,0.061049446,2.3200000000000003,28.98,15.38,8169485312,7.92,1.5792854,0.9423405,
WU,WU,Credit Services,19.32,10.0625,0.04039874,1.8599999999999999,21.37,16.42,8321297408,8.201,1.5027174,,
MHK,MHK,Home Furnishings & Fixtures,134.21,11.184167,,11.46,228.49,109.35,9719649280,8.268,0.9706136,1.2838517,
BWA,BWA,Auto Parts,36.54,7.9434786,0.01857416,4.39,53.28,32.46,7573499904,5.828,0.7344641,1.77198,
PHM,PHM,Residential Construction,32.07,9.033803,0.01215611,3.5599999999999996,33.04,20.64,8887783424,7.387,0.8700776,1.8022928,
ALB,ALB,Specialty Chemicals,70.22,10.372231,0.020029176,5.43,108.74,68.45,7440300544,10.094,2.1977708,2.0259666,
JBHT,JBHT,Integrated Shipping & Logistics,95.63,14.780525,0.010476802,5.71,131.74,88.38,10398709760,10.339,1.187575,4.718508,
UNM,UNM,Insurance - Life,35.32,6.0687284,0.030075185,5.279999999999999,41.28,26.77,7483636736,10.403,0.64036596,0.82755387,
AIV,AIV,REIT - Residential,49.74,134.43243,0.031614844,5.539999999999999,51.25,38.54,7883441664,21.192,8.316411,4.2074103,
DISH,DISH,Pay TV,34.37,17.80829,,2.94,37.47,23.22,16125303808,10.857,1.2078917,1.7970302,
FBHS,FBHS,Home Furnishings & Fixtures,53,13.118812,0.01565782,3.42,58.75,35.27,7413692416,11.442,1.3337817,3.3015637,
ALK,ALK,Airlines,61.38,9.106826,0.02178613,4.49,74.83,53.39,7576010752,8.086,0.9118935,2.0236723,
KIM,KIM,REIT - Retail,18.21,26.014284,0.06191266,0.9600000000000001,18.64,13.86,7702246912,17.613,6.664608,1.4446648,
AOS,AOS,Diversified Industrials,48.3,16.37288,0.016632017,2.54,65.57,40.34,8075566592,13.153,2.5652192,4.6167083,
SLG,SLG,REIT - Office,85.34,58.45205,0.03937241,3.17,106.54,76.77,7560091648,21.41,6.1786003,1.2744921,
RHI,RHI,Staffing & Outsourcing Services,56.08,13.226417,0.020664869,3.72,79.91,52.79,6533712896,10.129,1.1124115,6.0541945,
HFC,HFC,Oil & Gas Refining & Marketing,43.63,7.4200683,0.030935086,6.22,83.28,42.19,7397117440,4.874,0.4230917,1.2198396,
RL,RL,Apparel Manufacturing,113.95,15.032981,0.020079473,7.02,147.79,95.63,8958977024,8.779,1.4138683,2.6704946,
ADS,ADS,Credit Services,144.86,6.1590137,0.01644182,22.029999999999998,250.27,142.07,7588273664,15.463,0.9799287,3.3829987,
CPB,CPB,Packaged Foods,38.67,15.284584,0.036157023,2.51,43.98,32.03,11644232704,10.469,1.1941578,9.1722,
DVA,DVA,Medical Care,51.24,10.007813,,3.4200000000000004,79.11,48.25,8526182400,11.202,0.7545415,2.2000859,
M,M,Department Stores,21.8,7.4914083,0.069972195,4.18,41.99,21.08,6720155136,4.86,0.26108843,1.0416168,
FLIR,FLIR,Scientific & Technical Instruments,49.88,19.03817,0.013141933,2.2700000000000005,63.88,40.52,6754799104,17.612,3.7931178,3.5491676,
SEE,SEE,Packaging & Containers,42.05,13.786885,0.015019948,2.59,47.13,30.22,6547353088,12.117,1.3887988,,
CPRI,CPRI,Apparel Manufacturing,40.74,8.21371,,4.98,75.96,35.68,6139884544,7.708,1.2101156,2.6692002,
XEC,XEC,Oil & Gas E&P,67.5,7.9132476,0.010927304,6.760000000000001,103.91,55.62,6726185984,5.996,2.8636205,1.7877953,
XRX,XRX,Information Technology Services,31.44,7.612591,0.03207184,3.7,35.18,18.58,7062273024,8.687,0.7355768,1.4160249,
FL,FL,Footwear & Accessories,56.68,9.996472,0.024625268,4.710000000000001,68,43.13,6365787648,6.297,0.8018375,2.5381758,
PBCT,PBCT,Banks - Regional - US,16.57,11.272108,0.042579073,1.29,19.37,13.66,6498256384,,4.0316763,0.9670829,
PNR,PNR,Diversified Industrials,36.77,14.363282,0.023926048,2.2800000000000002,46.93,35.3,6320468992,14.464,2.1635067,3.379285,
HBI,HBI,Apparel Manufacturing,16.48,9.206704,0.037220843,1.75,22.57,11.57,5957042176,9.585,0.8607851,5.7381616,
FLS,FLS,Diversified Industrials,49.15,19.350395,0.0158037,1.89,56.86,35.88,6445432832,15.656,1.6949341,3.8118505,
PRGO,PRGO,Drug Manufacturers - Specialty & Generic,49.7,10.923077,0.0152702425,4.3500000000000005,80.66,36.28,6758753280,11.462,1.4413446,1.1857047,
HOG,HOG,Recreational Vehicles,34.74,9.288771,0.04367647,3.3200000000000003,46.79,31.36,5460399104,13.203,0.9822391,3.03751,
HP,HP,Oil & Gas Drilling,58.82,26.142221,0.049929675,1.1600000000000001,73.87,44.56,6500198400,8.61,2.309898,1.4902079,
IPGP,IPGP,Semiconductor Equipment & Materials,145.86,20.343096,,6.469999999999999,261.77,104.64,7751554560,13.465,5.4779096,3.415765,
FOX,FOX,Broadcasting - TV,37.48,15.948936,0.0096,1.7600000000000002,50.96,35.21,23424813056,10.515,2.0785105,2.7041848,
PWR,PWR,Engineering & Construction,35.72,9.680217,0.0022598868,3.3899999999999997,41,27.9,5076454912,7.821,0.43909767,1.3632548,
LB,LB,Apparel Stores,22.51,8.827452,0.106999554,2.83,38.14,22.03,6195044352,5.408,0.46800968,,
AMG,AMG,Asset Management,91.34,6.0450034,0.013430208,13.85,169.88,88.47,4676544000,8.891,2.025267,1.4949996,
NWL,NWL,Household & Personal Products,15.28,10.1866665,0.06052632,2.48,28,13.57,6464967680,14.672,0.7577762,1.3064295,
GPS,GPS,Apparel Stores,22.84,8.992126,0.042656112,2.59,34.21,21.75,8656679936,4.663,0.5221158,2.4300456,
NKTR,NKTR,Biotechnology,33.75,-12.931035,,3.519999999999999,92.17,29.22,5882861568,7.544,4.9706187,3.5996158,
ROL,ROL,Business Services,36.13,43.53012,0.010784313,0.7100000000000001,43.91,33.066666,11833658368,31.738,6.42473,16.45264,
HRB,HRB,Personal Services,27.14,13.435643,0.036437247,3.3,29.81,22.45,5517371904,8.048,1.7486117,,
JEF,JEF,Asset Management,18.91,13.223777,0.026006358,3.07,25.07,16.2,5507291648,36.346,1.0543722,0.567919,
TRIP,TRIP,Leisure,47,21.266968,,1.7599999999999998,69,43.4,6534362624,24.132,4.051062,4.3349934,
LEG,LEG,Home Furnishings & Fixtures,37.59,13.769231,0.04101457,2.4000000000000004,46.71,33.48,4934401536,12.748,1.1225264,4.1280475,
